Process [0]: ParentProcess [0], Name: [System Process]

Process [4]: ParentProcess [0], Name: System

Process [176]: ParentProcess [4], Name: Registry

Process [644]: ParentProcess [4], Name: smss.exe

Process [1020]: ParentProcess [788], Name: csrss.exe

Process [1100]: ParentProcess [788], Name: wininit.exe

Process [1108]: ParentProcess [1092], Name: csrss.exe

Process [1168]: ParentProcess [1092], Name: winlogon.exe

Process [1240]: ParentProcess [1100], Name: services.exe

Process [1264]: ParentProcess [1100], Name: lsass.exe

Process [1392]: ParentProcess [1240], Name: svchost.exe

Process [1420]: ParentProcess [1100], Name: fontdrvhost.exe

Process [1428]: ParentProcess [1168], Name: fontdrvhost.exe

Process [1524]: ParentProcess [1240], Name: svchost.exe

Process [1576]: ParentProcess [1240], Name: svchost.exe

Process [1652]: ParentProcess [1168], Name: dwm.exe

Process [1772]: ParentProcess [1240], Name: svchost.exe

Process [1816]: ParentProcess [1240], Name: svchost.exe

Process [1824]: ParentProcess [1240], Name: svchost.exe

Process [1912]: ParentProcess [1240], Name: svchost.exe

Process [1920]: ParentProcess [1240], Name: svchost.exe

Process [1932]: ParentProcess [1240], Name: svchost.exe

Process [1972]: ParentProcess [1240], Name: svchost.exe

Process [1112]: ParentProcess [1240], Name: svchost.exe

Process [1288]: ParentProcess [1240], Name: svchost.exe

Process [2108]: ParentProcess [1240], Name: svchost.exe

Process [2332]: ParentProcess [1240], Name: svchost.exe

Process [2408]: ParentProcess [1240], Name: NVDisplay.Container.exe

Process [2480]: ParentProcess [1240], Name: svchost.exe

Process [2520]: ParentProcess [1240], Name: svchost.exe

Process [2528]: ParentProcess [1240], Name: amdfendrsr.exe

Process [2536]: ParentProcess [1240], Name: atiesrxx.exe

Process [2624]: ParentProcess [1240], Name: svchost.exe

Process [2704]: ParentProcess [1240], Name: svchost.exe

Process [2932]: ParentProcess [2408], Name: NVDisplay.Container.exe

Process [2980]: ParentProcess [1240], Name: svchost.exe

Process [2992]: ParentProcess [1240], Name: svchost.exe

Process [3000]: ParentProcess [1240], Name: svchost.exe

